products-list__link href,img src,exclusive-new,brand,price,original_price,discount_percent,product_link,image_link,product_name,rating,discounted_price,original_price.1,discount_percent.1,offer_price,customer_review,material_type,delivery_time_estimate,product_category,delivery_speed_category
https://www.ajio.com/u-s-polo-assn-men-checked-regular-fit-shirt/p/442400931_blue?,,Bestseller,U.S. Polo Assn.,₹1727,₹2699,36%,https://www.example.com/product/183,https://www.example.com/images/product_183.jpg,Casual Shirt,4.4,2136,5611,22% Off,572,Not worth the price,Synthetic,5-7 days,Footwear,Slow
https://www.ajio.com/u-s-polo-assn-men-checked-regular-fit-shirt/p/442400931_blue?,https://assets.ajio.com/medias/sys_master/root/20240408/x9Lu/6614042605ac7d77bbfd8f0d/u.s._polo_assn._blue_men_checked_regular_fit_shirt.jpg,Bestseller,U.S. Polo Assn.,₹1727,₹2699,36%,https://www.example.com/product/222,https://www.example.com/images/product_222.jpg,Casual Shirt,2.0,3815,5658,81% Off,1096,Excellent product!,Leather,1-2 weeks,Footwear,Slow
https://www.ajio.com/red-tape-men-high-top-sneakers-with-lace-fastening/p/700353149_white?,https://assets.ajio.com/medias/sys_master/root/20241115/DOEE/6736d2520f47f80c8788799d/red_tape_white_men_high-top_sneakers_with_lace_fastening.jpg,BESTSELLER,RED TAPE,₹1139,₹6699,83%,https://www.example.com/product/224,https://www.example.com/images/product_224.jpg,Running Shoes,1.6,2628,4233,48% Off,1721,Not worth the price,Polyester,4-5 days,Footwear,Slow
https://www.ajio.com/red-tape-men-black-lifestyle-sneakers-/p/700429398_black?,https://assets.ajio.com/medias/sys_master/root/20241121/OIGB/673eba5e0f47f80c8798d122/red_tape_black_men_black_lifestyle_sneakers.jpg,Bestseller,RED TAPE,₹1207,₹7099,83%,https://www.example.com/product/232,https://www.example.com/images/product_232.jpg,Running Shoes,2.7,4724,2449,19% Off,4948,Good value for money,Cotton,2-3 days,Footwear,Fast
https://www.ajio.com/the-indian-garage-co-men-striped-slim-fit-shirt-with-patch-pocket/p/460907277_blue?,https://assets.ajio.com/medias/sys_master/root/20241015/Y7jC/670e5301260f9c41e8792948/the_indian_garage_co_blue_men_striped_slim_fit_shirt_with_patch_pocket.jpg,BESTSELLER,The Indian Garage Co,₹472,₹1749,73%,https://www.example.com/product/234,https://www.example.com/images/product_234.jpg,Casual Shirt,2.1,2307,6166,24% Off,392,Good value for money,Leather,5-7 days,Footwear,Moderate
https://www.ajio.com/kuchipoo-boys-pack-of-5-graphic-print-relaxed-fit-round-neck-t-shirts/p/700232188_multi?,,BESTSELLER,Kuchipoo,₹437,₹1899,77%,https://www.example.com/product/248,https://www.example.com/images/product_248.jpg,Casual Shirt,1.3,2928,3953,64% Off,3030,Excellent product!,Cotton,5-7 days,Footwear,Slow
https://www.ajio.com/the-indian-garage-co-men-mid-wash-slim-fit-jeans/p/460619249_black?,,BESTSELLER,The Indian Garage Co,₹680,₹1999,66%,https://www.example.com/product/254,https://www.example.com/images/product_254.jpg,Running Shoes,2.7,4695,5790,56% Off,3241,Very satisfied,Cotton,4-5 days,Footwear,Fast
https://www.ajio.com/red-tape-men-chelsea-boots-with-genuine-leather-upper/p/701895104_brown?,https://assets.ajio.com/medias/sys_master/root/20250709/ScEN/686e510eb13fc54edd0a3f70/red_tape_teak_men_chelsea_boots_with_genuine_leather_upper.jpg,BESTSELLER,RED TAPE,₹1632,₹9599,83%,https://www.example.com/product/316,https://www.example.com/images/product_316.jpg,Portable Sneakers,2.9,3243,5316,39% Off,2932,Value for money,Cotton,1-2 weeks,Clothing,Slow
https://www.ajio.com/nike-run-defy-lace-up-sports-shoes/p/469755813_blue?,,NEWSEASON,NIKE,₹3116,₹3995,22%,https://www.example.com/product/329,https://www.example.com/images/product_329.jpg,Portable Sneakers,2.4,2407,4814,50% Off,1946,Could be better,Leather,4-5 days,Footwear,Moderate
https://www.ajio.com/eyebogler-logo-print-polo-t-shirt/p/466308495_olive?,,Bestseller,EYEBOGLER,₹275,₹2499,89%,https://www.example.com/product/349,https://www.example.com/images/product_349.jpg,Wireless T-Shirt,4.6,5840,7787,25% Off,5832,Highly recommended,Silk,2-3 days,Clothing,Moderate
https://www.ajio.com/van-heusen-men-round-toe-slip-on-shoes/p/469649594_brown?,,BESTSELLER,VAN HEUSEN,₹2150,₹4299,50%,https://www.example.com/product/356,https://www.example.com/images/product_356.jpg,Stylish T-Shirt,3.3,1668,6179,73% Off,1409,Would buy again,Leather,4-5 days,Footwear,Fast
https://www.ajio.com/red-tape-men-flip-flops-with-rubber-upper/p/701516512_olive?,,BESTSELLER,RED TAPE,₹391,₹2299,83%,https://www.example.com/product/419,https://www.example.com/images/product_419.jpg,Smart T-Shirt,4.2,3723,6648,44% Off,3326,Excellent product!,Leather,1-2 weeks,Clothing,Fast
https://www.ajio.com/gulmohar-jaipur-jaipur-cotton-calf-length-anarkali-kurta-set/p/701585855_mustard?,,Bestseller,GULMOHAR JAIPUR,₹1397,₹3599,61%,https://www.example.com/product/436,https://www.example.com/images/product_436.jpg,Portable T-Shirt,2.2,1222,5092,76% Off,819,Very satisfied,Plastic,2-3 days,Clothing,Fast
https://www.ajio.com/the-bear-house-men-checked-slim-fit-shirt/p/464176063_blue?,,BESTSELLER,THE BEAR HOUSE,₹798,₹2495,68%,https://www.example.com/product/445,https://www.example.com/images/product_445.jpg,Durable Sneakers,3.8,575,787,27% Off,331,Amazing quality,Silk,5-7 days,Footwear,Slow
https://www.ajio.com/the-indian-garage-co-striped-slim-fit-shirt-with-patch-pocket/p/469194738_blue?,https://assets.ajio.com/medias/sys_master/root/20230502/BZZA/64512fc042f9e729d7623a85/the_indian_garage_co_blue_striped_slim_fit_shirt_with_patch_pocket.jpg,Bestseller,The Indian Garage Co,₹490,₹1749,72%,https://www.example.com/product/466,https://www.example.com/images/product_466.jpg,Stylish Sneakers,1.0,3236,7704,58% Off,2955,Excellent product!,Silk,5-7 days,Footwear,Slow
https://www.ajio.com/ftx-pack-of-3-men-track-pants/p/701579634_multi?,,Bestseller,FTX,₹499,₹1385,64%,https://www.example.com/product/529,https://www.example.com/images/product_529.jpg,Portable T-Shirt,3.4,1918,3688,48% Off,1551,Highly recommended,Plastic,1-2 weeks,Clothing,Fast
https://www.ajio.com/red-tape-men-sports-shoes-with-mesh-upper/p/701087906_white?,,Bestseller,RED TAPE,₹1173,₹6899,83%,https://www.example.com/product/549,https://www.example.com/images/product_549.jpg,Smart T-Shirt,1.3,1226,1679,27% Off,1054,Value for money,Cotton,1-2 weeks,Clothing,Fast
https://www.ajio.com/red-tape-women-colourblock-slide-flip-flops-/p/701800587_offwhite?,,BESTSELLER,RED TAPE,₹378,₹2099,82%,https://www.example.com/product/571,https://www.example.com/images/product_571.jpg,Premium T-Shirt,1.7,3744,4254,12% Off,3654,Could be better,Plastic,1-2 weeks,Footwear,Slow
https://www.example.com/product/1000,https://assets.example.com/product_1000.jpg,NEW,Luxora,₹2971,₹3678,19%,https://www.example.com/product/1000,https://www.example.com/images/product_1000.jpg,Luxora Ethnicwear 592,3.0,2878,3678,19%,2927,Stylish and comfortable,Silk,2-3 days,Ethnicwear,Moderate
https://www.example.com/product/1001,https://assets.example.com/product_1001.jpg,TRENDING,ZyraWear,₹4830,₹7475,35%,https://www.example.com/product/1001,https://www.example.com/images/product_1001.jpg,ZyraWear Accessories 565,2.9,4780,7475,35%,4786,Value for money,Denim,1-2 weeks,Accessories,Fast
https://www.example.com/product/1002,https://assets.example.com/product_1002.jpg,NEW,TruStep,₹1400,₹1975,29%,https://www.example.com/product/1002,https://www.example.com/images/product_1002.jpg,TruStep Jackets 135,4.2,1204,1975,29%,1375,Average quality,Polyester,1-2 weeks,Jackets,Moderate
https://www.example.com/product/1003,https://assets.example.com/product_1003.jpg,BESTSELLER,StrideMax,₹1500,₹1700,11%,https://www.example.com/product/1003,https://www.example.com/images/product_1003.jpg,StrideMax Jackets 820,2.6,1429,1700,11%,1437,Very satisfied,Linen,2-3 days,Jackets,Moderate
https://www.example.com/product/1004,https://assets.example.com/product_1004.jpg,NEW,Luxora,₹2260,₹2495,9%,https://www.example.com/product/1004,https://www.example.com/images/product_1004.jpg,Luxora Sportswear 986,3.3,2186,2495,9%,2203,Value for money,Synthetic,1-2 weeks,Sportswear,Slow
https://www.example.com/product/1005,https://assets.example.com/product_1005.jpg,Bestseller,Luxora,₹2807,₹5357,47%,https://www.example.com/product/1005,https://www.example.com/images/product_1005.jpg,Luxora Sportswear 196,3.2,2754,5357,47%,2772,Not worth the price,Leather,4-5 days,Sportswear,Fast
https://www.example.com/product/1006,https://assets.example.com/product_1006.jpg,Limited Edition,StrideMax,₹368,₹591,37%,https://www.example.com/product/1006,https://www.example.com/images/product_1006.jpg,StrideMax Jeans 862,2.2,239,591,37%,286,Value for money,Polyester,2-3 days,Jeans,Slow
https://www.example.com/product/1007,https://assets.example.com/product_1007.jpg,Bestseller,VogueLift,₹4227,₹5923,28%,https://www.example.com/product/1007,https://www.example.com/images/product_1007.jpg,VogueLift Accessories 581,2.6,4093,5923,28%,4180,Value for money,Polyester,4-5 days,Accessories,Fast
https://www.example.com/product/1008,https://assets.example.com/product_1008.jpg,TRENDING,ZyraWear,₹350,₹2512,86%,https://www.example.com/product/1008,https://www.example.com/images/product_1008.jpg,ZyraWear Accessories 707,4.3,193,2512,86%,289,Very satisfied,Leather,5-7 days,Accessories,Slow
https://www.example.com/product/1009,https://assets.example.com/product_1009.jpg,Limited Edition,ZyraWear,₹2515,₹4495,44%,https://www.example.com/product/1009,https://www.example.com/images/product_1009.jpg,ZyraWear Sportswear 685,4.8,2323,4495,44%,2421,Could be better,Denim,1-2 weeks,Sportswear,Moderate
https://www.example.com/product/1010,https://assets.example.com/product_1010.jpg,BESTSELLER,AeroStyle,₹1410,₹2920,51%,https://www.example.com/product/1010,https://www.example.com/images/product_1010.jpg,AeroStyle Handbags 242,3.0,1246,2920,51%,1374,Stylish and comfortable,Linen,1-2 weeks,Handbags,Fast
https://www.example.com/product/1011,https://assets.example.com/product_1011.jpg,Bestseller,DenimCraft,₹2071,₹4997,58%,https://www.example.com/product/1011,https://www.example.com/images/product_1011.jpg,DenimCraft Handbags 562,3.8,1997,4997,58%,2002,Value for money,Linen,2-3 days,Handbags,Slow
https://www.example.com/product/1012,https://assets.example.com/product_1012.jpg,TRENDING,AeroStyle,₹4290,₹5410,20%,https://www.example.com/product/1012,https://www.example.com/images/product_1012.jpg,AeroStyle Dresses 932,2.4,4145,5410,20%,4223,Very satisfied,Leather,1-2 weeks,Dresses,Moderate
https://www.example.com/product/1013,https://assets.example.com/product_1013.jpg,Limited Edition,AeroStyle,₹4351,₹5999,27%,https://www.example.com/product/1013,https://www.example.com/images/product_1013.jpg,AeroStyle Dresses 216,3.0,4171,5999,27%,4289,Stylish and comfortable,Cotton,2-3 days,Dresses,Moderate
https://www.example.com/product/1014,https://assets.example.com/product_1014.jpg,TRENDING,TruStep,₹2725,₹5480,50%,https://www.example.com/product/1014,https://www.example.com/images/product_1014.jpg,TruStep Dresses 553,2.6,2632,5480,50%,2657,Stylish and comfortable,Silk,1-2 weeks,Dresses,Moderate
https://www.example.com/product/1015,https://assets.example.com/product_1015.jpg,NEW,AeroStyle,₹2375,₹4583,48%,https://www.example.com/product/1015,https://www.example.com/images/product_1015.jpg,AeroStyle Ethnicwear 449,4.5,2204,4583,48%,2306,Excellent product!,Synthetic,5-7 days,Ethnicwear,Moderate
https://www.example.com/product/1016,https://assets.example.com/product_1016.jpg,Bestseller,StrideMax,₹657,₹3443,80%,https://www.example.com/product/1016,https://www.example.com/images/product_1016.jpg,StrideMax Handbags 558,4.6,600,3443,80%,614,Average quality,Nylon,1-2 weeks,Handbags,Moderate
https://www.example.com/product/1017,https://assets.example.com/product_1017.jpg,Bestseller,NeoThreads,₹839,₹2937,71%,https://www.example.com/product/1017,https://www.example.com/images/product_1017.jpg,NeoThreads Ethnicwear 600,1.9,752,2937,71%,767,Stylish and comfortable,Synthetic,2-3 days,Ethnicwear,Slow
https://www.example.com/product/1018,https://assets.example.com/product_1018.jpg,BESTSELLER,VogueLift,₹1105,₹2626,57%,https://www.example.com/product/1018,https://www.example.com/images/product_1018.jpg,VogueLift Sportswear 795,1.4,972,2626,57%,1019,Average quality,Nylon,1-2 weeks,Sportswear,Slow
https://www.example.com/product/1019,https://assets.example.com/product_1019.jpg,TRENDING,Luxora,₹4437,₹6741,34%,https://www.example.com/product/1019,https://www.example.com/images/product_1019.jpg,Luxora Footwear 775,2.4,4319,6741,34%,4362,Very satisfied,Cotton,1-2 weeks,Footwear,Moderate
https://www.example.com/product/1020,https://assets.example.com/product_1020.jpg,Limited Edition,UrbanEdge,₹3471,₹3912,11%,https://www.example.com/product/1020,https://www.example.com/images/product_1020.jpg,UrbanEdge Ethnicwear 167,2.5,3358,3912,11%,3375,Average quality,Leather,2-3 days,Ethnicwear,Slow
https://www.example.com/product/1021,https://assets.example.com/product_1021.jpg,TRENDING,AeroStyle,₹3785,₹4285,11%,https://www.example.com/product/1021,https://www.example.com/images/product_1021.jpg,AeroStyle Sportswear 901,1.2,3619,4285,11%,3748,Excellent product!,Polyester,2-3 days,Sportswear,Slow
https://www.example.com/product/1022,https://assets.example.com/product_1022.jpg,Limited Edition,DenimCraft,₹1752,₹1953,10%,https://www.example.com/product/1022,https://www.example.com/images/product_1022.jpg,DenimCraft Sportswear 612,1.5,1575,1953,10%,1659,Value for money,Denim,2-3 days,Sportswear,Slow
https://www.example.com/product/1023,https://assets.example.com/product_1023.jpg,TRENDING,Flexura,₹2654,₹3227,17%,https://www.example.com/product/1023,https://www.example.com/images/product_1023.jpg,Flexura Sportswear 163,2.4,2476,3227,17%,2599,Stylish and comfortable,Nylon,4-5 days,Sportswear,Moderate
https://www.example.com/product/1024,https://assets.example.com/product_1024.jpg,BESTSELLER,Luxora,₹1489,₹3955,62%,https://www.example.com/product/1024,https://www.example.com/images/product_1024.jpg,Luxora Accessories 824,1.7,1375,3955,62%,1466,Value for money,Linen,4-5 days,Accessories,Moderate
https://www.example.com/product/1025,https://assets.example.com/product_1025.jpg,BESTSELLER,StrideMax,₹3771,₹4750,20%,https://www.example.com/product/1025,https://www.example.com/images/product_1025.jpg,StrideMax Footwear 897,2.5,3613,4750,20%,3727,Average quality,Polyester,1-2 weeks,Footwear,Moderate
https://www.example.com/product/1026,https://assets.example.com/product_1026.jpg,BESTSELLER,Luxora,₹2913,₹5600,47%,https://www.example.com/product/1026,https://www.example.com/images/product_1026.jpg,Luxora Footwear 371,3.5,2792,5600,47%,2843,Highly recommended,Cotton,4-5 days,Footwear,Moderate
https://www.example.com/product/1027,https://assets.example.com/product_1027.jpg,TRENDING,NeoThreads,₹2647,₹5501,51%,https://www.example.com/product/1027,https://www.example.com/images/product_1027.jpg,NeoThreads Footwear 749,1.2,2596,5501,51%,2589,Value for money,Nylon,2-3 days,Footwear,Slow
https://www.example.com/product/1028,https://assets.example.com/product_1028.jpg,TRENDING,Luxora,₹3344,₹6247,46%,https://www.example.com/product/1028,https://www.example.com/images/product_1028.jpg,Luxora Footwear 448,3.2,3224,6247,46%,3259,Value for money,Denim,2-3 days,Footwear,Slow
https://www.example.com/product/1029,https://assets.example.com/product_1029.jpg,TRENDING,StrideMax,₹4387,₹4765,7%,https://www.example.com/product/1029,https://www.example.com/images/product_1029.jpg,StrideMax Shirts 865,3.2,4287,4765,7%,4321,Excellent product!,Cotton,2-3 days,Shirts,Fast
https://www.example.com/product/1030,https://assets.example.com/product_1030.jpg,Bestseller,AeroStyle,₹508,₹1075,52%,https://www.example.com/product/1030,https://www.example.com/images/product_1030.jpg,AeroStyle Shirts 368,3.2,347,1075,52%,469,Stylish and comfortable,Polyester,2-3 days,Shirts,Moderate
https://www.example.com/product/1031,https://assets.example.com/product_1031.jpg,Limited Edition,UrbanEdge,₹2481,₹3418,27%,https://www.example.com/product/1031,https://www.example.com/images/product_1031.jpg,UrbanEdge Footwear 958,4.2,2315,3418,27%,2420,Value for money,Polyester,1-2 weeks,Footwear,Slow
https://www.example.com/product/1032,https://assets.example.com/product_1032.jpg,Bestseller,Flexura,₹4267,₹4963,14%,https://www.example.com/product/1032,https://www.example.com/images/product_1032.jpg,Flexura T-Shirts 653,2.2,4106,4963,14%,4205,Value for money,Cotton,4-5 days,T-Shirts,Fast
https://www.example.com/product/1033,https://assets.example.com/product_1033.jpg,BESTSELLER,StrideMax,₹2606,₹3461,24%,https://www.example.com/product/1033,https://www.example.com/images/product_1033.jpg,StrideMax Footwear 899,3.9,2478,3461,24%,2510,Could be better,Linen,1-2 weeks,Footwear,Slow
https://www.example.com/product/1034,https://assets.example.com/product_1034.jpg,Bestseller,UrbanEdge,₹3205,₹5964,46%,https://www.example.com/product/1034,https://www.example.com/images/product_1034.jpg,UrbanEdge Accessories 797,3.3,3043,5964,46%,3169,Value for money,Polyester,5-7 days,Accessories,Fast
https://www.example.com/product/1035,https://assets.example.com/product_1035.jpg,TRENDING,AeroStyle,₹2371,₹3228,26%,https://www.example.com/product/1035,https://www.example.com/images/product_1035.jpg,AeroStyle Accessories 867,2.3,2292,3228,26%,2308,Average quality,Leather,1-2 weeks,Accessories,Moderate
https://www.example.com/product/1036,https://assets.example.com/product_1036.jpg,BESTSELLER,AeroStyle,₹1067,₹3974,73%,https://www.example.com/product/1036,https://www.example.com/images/product_1036.jpg,AeroStyle Sportswear 872,1.2,921,3974,73%,1003,Stylish and comfortable,Silk,1-2 weeks,Sportswear,Slow
https://www.example.com/product/1037,https://assets.example.com/product_1037.jpg,NEW,DenimCraft,₹3575,₹3890,8%,https://www.example.com/product/1037,https://www.example.com/images/product_1037.jpg,DenimCraft Footwear 674,2.4,3466,3890,8%,3527,Value for money,Cotton,2-3 days,Footwear,Fast
https://www.example.com/product/1038,https://assets.example.com/product_1038.jpg,Limited Edition,Luxora,₹4922,₹5812,15%,https://www.example.com/product/1038,https://www.example.com/images/product_1038.jpg,Luxora Jeans 181,1.9,4814,5812,15%,4896,Excellent product!,Denim,2-3 days,Jeans,Moderate
https://www.example.com/product/1039,https://assets.example.com/product_1039.jpg,NEW,NeoThreads,₹2209,₹3835,42%,https://www.example.com/product/1039,https://www.example.com/images/product_1039.jpg,NeoThreads Sportswear 918,4.1,2096,3835,42%,2158,Highly recommended,Cotton,2-3 days,Sportswear,Slow
https://www.example.com/product/1040,https://assets.example.com/product_1040.jpg,NEW,Flexura,₹4568,₹5927,22%,https://www.example.com/product/1040,https://www.example.com/images/product_1040.jpg,Flexura Ethnicwear 662,1.7,4467,5927,22%,4501,Average quality,Polyester,2-3 days,Ethnicwear,Slow
https://www.example.com/product/1041,https://assets.example.com/product_1041.jpg,Bestseller,NeoThreads,₹4858,₹5635,13%,https://www.example.com/product/1041,https://www.example.com/images/product_1041.jpg,NeoThreads Jeans 704,1.3,4765,5635,13%,4817,Value for money,Linen,1-2 weeks,Jeans,Moderate
https://www.example.com/product/1042,https://assets.example.com/product_1042.jpg,NEW,TruStep,₹1498,₹2740,45%,https://www.example.com/product/1042,https://www.example.com/images/product_1042.jpg,TruStep Sportswear 489,3.9,1304,2740,45%,1448,Could be better,Silk,1-2 weeks,Sportswear,Fast
https://www.example.com/product/1043,https://assets.example.com/product_1043.jpg,BESTSELLER,ZyraWear,₹4676,₹6473,27%,https://www.example.com/product/1043,https://www.example.com/images/product_1043.jpg,ZyraWear Dresses 352,2.3,4565,6473,27%,4652,Very satisfied,Linen,2-3 days,Dresses,Slow
https://www.example.com/product/1044,https://assets.example.com/product_1044.jpg,NEW,Flexura,₹3699,₹6382,42%,https://www.example.com/product/1044,https://www.example.com/images/product_1044.jpg,Flexura Jackets 815,2.4,3602,6382,42%,3662,Could be better,Linen,1-2 weeks,Jackets,Moderate
https://www.example.com/product/1045,https://assets.example.com/product_1045.jpg,BESTSELLER,NeoThreads,₹3579,₹5381,33%,https://www.example.com/product/1045,https://www.example.com/images/product_1045.jpg,NeoThreads T-Shirts 321,3.3,3519,5381,33%,3497,Stylish and comfortable,Silk,2-3 days,T-Shirts,Fast
https://www.example.com/product/1046,https://assets.example.com/product_1046.jpg,Bestseller,AeroStyle,₹4040,₹6816,40%,https://www.example.com/product/1046,https://www.example.com/images/product_1046.jpg,AeroStyle Jackets 843,4.1,3982,6816,40%,4014,Stylish and comfortable,Silk,2-3 days,Jackets,Slow
https://www.example.com/product/1047,https://assets.example.com/product_1047.jpg,Limited Edition,VogueLift,₹4088,₹5273,22%,https://www.example.com/product/1047,https://www.example.com/images/product_1047.jpg,VogueLift Sportswear 406,1.6,4003,5273,22%,4053,Very satisfied,Polyester,5-7 days,Sportswear,Moderate
https://www.example.com/product/1048,https://assets.example.com/product_1048.jpg,Bestseller,Flexura,₹2790,₹4102,31%,https://www.example.com/product/1048,https://www.example.com/images/product_1048.jpg,Flexura T-Shirts 720,1.3,2598,4102,31%,2753,Not worth the price,Polyester,2-3 days,T-Shirts,Slow
https://www.example.com/product/1049,https://assets.example.com/product_1049.jpg,BESTSELLER,DenimCraft,₹4690,₹6375,26%,https://www.example.com/product/1049,https://www.example.com/images/product_1049.jpg,DenimCraft Sportswear 880,2.4,4608,6375,26%,4624,Value for money,Denim,2-3 days,Sportswear,Slow
https://www.example.com/product/1050,https://assets.example.com/product_1050.jpg,Limited Edition,NeoThreads,₹2164,₹4228,48%,https://www.example.com/product/1050,https://www.example.com/images/product_1050.jpg,NeoThreads Accessories 239,4.5,2059,4228,48%,2084,Excellent product!,Cotton,1-2 weeks,Accessories,Fast
https://www.example.com/product/1051,https://assets.example.com/product_1051.jpg,BESTSELLER,Luxora,₹2208,₹2706,18%,https://www.example.com/product/1051,https://www.example.com/images/product_1051.jpg,Luxora Jackets 915,5.0,2037,2706,18%,2180,Highly recommended,Silk,4-5 days,Jackets,Slow
https://www.example.com/product/1052,https://assets.example.com/product_1052.jpg,NEW,TruStep,₹2842,₹3505,18%,https://www.example.com/product/1052,https://www.example.com/images/product_1052.jpg,TruStep Jeans 824,4.2,2786,3505,18%,2771,Very satisfied,Synthetic,5-7 days,Jeans,Moderate
https://www.example.com/product/1053,https://assets.example.com/product_1053.jpg,NEW,ZyraWear,₹4059,₹5552,26%,https://www.example.com/product/1053,https://www.example.com/images/product_1053.jpg,ZyraWear Dresses 832,1.0,3882,5552,26%,3969,Not worth the price,Leather,1-2 weeks,Dresses,Moderate
https://www.example.com/product/1054,https://assets.example.com/product_1054.jpg,Limited Edition,DenimCraft,₹741,₹1730,57%,https://www.example.com/product/1054,https://www.example.com/images/product_1054.jpg,DenimCraft Ethnicwear 838,1.8,601,1730,57%,687,Excellent product!,Leather,5-7 days,Ethnicwear,Fast
https://www.example.com/product/1055,https://assets.example.com/product_1055.jpg,NEW,Luxora,₹2633,₹3993,34%,https://www.example.com/product/1055,https://www.example.com/images/product_1055.jpg,Luxora Sportswear 985,1.6,2540,3993,34%,2545,Excellent product!,Denim,1-2 weeks,Sportswear,Slow
